,filename,Reentrancy,Integer_Overflow_Underflow,Access_Control,Timestamp_Dependence,Transaction_Ordering_Dependence_Front_Running,tx_origin,Unchecked_Low_Level_Calls
0,CodeSmell_OriginalFiles/0x00430f32b8e77a456d0ab7e6f1dc1b84f4ae62e0.sol,0,0,0,0,0,0,0
1,CodeSmell_OriginalFiles/0x01617196358c14628d032f9c5f7188f2fbcafd78.sol,0,0,0,0,0,0,1
2,CodeSmell_OriginalFiles/0x01bd70a0cc118bca4c70624286488e8f3d78a10f.sol,0,0,0,0,0,0,1
3,CodeSmell_OriginalFiles/0x01d5d0108589f3c52fcce6e65503bb6515e66698.sol,0,0,0,0,0,0,0
4,CodeSmell_OriginalFiles/0x0214d7faA8145bDdb0fb4977980cE26AA1f95cEE.sol,0,0,0,0,0,0,0
5,CodeSmell_OriginalFiles/0x0348b55abd6e1a99c6ebc972a6a4582ec0bceb5c.sol,0,1,0,0,0,0,0
6,CodeSmell_OriginalFiles/0x035a401972f228b58dcae76bf318b54ed036d680.sol,0,1,0,0,0,0,1
7,CodeSmell_OriginalFiles/0x040d11c850fb167cddb1e4d308fe9062fddaebd1.sol,0,1,0,0,0,0,1
8,CodeSmell_OriginalFiles/0x05580ac8bdcdecee70c39592cd07c303992d58b8.sol,0,0,0,0,0,0,0
9,CodeSmell_OriginalFiles/0x05d379b48A8622ae4018309E116420Db4a38A225.sol,0,0,0,0,0,0,0
10,CodeSmell_OriginalFiles/0x06012c8cf97bead5deae237070f9587f8e7a266d.sol,1,1,0,0,0,0,0
11,CodeSmell_OriginalFiles/0x060e1e5ca588561431822e296aeab1fdecc893dc.sol,0,0,0,0,0,0,0
12,CodeSmell_OriginalFiles/0x06Ee3390532f493B4C3a41aA6E396ec750C038d7.sol,0,0,0,0,0,0,1
13,CodeSmell_OriginalFiles/0x075a5d77E17502ABa0388746aA229BB33682f521.sol,0,0,0,0,0,0,0
14,CodeSmell_OriginalFiles/0x08fca9bfaed36c29ee3435206158f13dedf4a859.sol,0,1,0,0,0,0,1
15,CodeSmell_OriginalFiles/0x090fC358FA1a992C083590c7dd33Ad5208A02e9d.sol,0,0,0,0,0,0,0
16,CodeSmell_OriginalFiles/0x092d3374f942bb4a99ce64f37fa7e661fdd1e74c.sol,1,0,0,0,0,0,0
17,CodeSmell_OriginalFiles/0x09678741bd50c3e74301f38fbd0136307099ae5d.sol,0,0,0,1,0,0,0
18,CodeSmell_OriginalFiles/0x0E915b35cC269b2DfC8BbD8E4A88Ed4884a53EfC.sol,1,1,0,0,0,0,0
19,CodeSmell_OriginalFiles/0x0F4caFDCE3737601C598BcFD4Bbd69F75786bA40.sol,1,0,0,0,0,0,0
20,CodeSmell_OriginalFiles/0x0b1724cc9fda0186911ef6a75949e9c0d3f0f2f3.sol,0,0,0,0,0,0,0
21,CodeSmell_OriginalFiles/0x0b6bc31fe6839ec3b8cfc98819cec7fa64158a8f.sol,0,0,0,0,0,0,1
22,CodeSmell_OriginalFiles/0x0b9e9c56ec900fbea85546444458d3c31ab60572.sol,0,0,0,0,0,0,0
23,CodeSmell_OriginalFiles/0x0dE2aD05856f8F5bfD8284D540a5d8C3AEc4dC9A.sol,0,0,0,0,0,0,0
24,CodeSmell_OriginalFiles/0x0dcfdb9f5496ed7f62dd0ac019c7daf184a66aef.sol,0,0,0,0,0,0,0
25,CodeSmell_OriginalFiles/0x0f598112679b78e17a4a9febc83703710d33489c.sol,0,0,0,0,0,0,0
26,CodeSmell_OriginalFiles/0x0f5d2fb29fb7d3cfee444a200298f468908cc942.sol,0,0,0,0,0,0,0
27,CodeSmell_OriginalFiles/0x103c2c150a2dbcc277ee084c59881978060c8c22.sol,0,1,0,0,0,0,0
28,CodeSmell_OriginalFiles/0x10b7d09dca7f9c6d33a9aeef5bf2bb5ce3ec1550.sol,0,0,0,0,0,0,0
29,CodeSmell_OriginalFiles/0x10e32d84d8bd44b68e99c6fe147ef2ba63e6ae22.sol,0,0,0,0,0,0,0
30,CodeSmell_OriginalFiles/0x11524a168d1b888df781a87a6b4511f199b543ad.sol,0,0,0,0,0,0,0
31,CodeSmell_OriginalFiles/0x11d4ec0991951b5ea20a1f3bf0c9e36e054b1e55.sol,0,0,0,0,0,0,1
32,CodeSmell_OriginalFiles/0x129acbb3ad1a3ad13fec0fc7ca26811a487e14c9.sol,0,0,0,0,0,0,0
33,CodeSmell_OriginalFiles/0x12b58582694d1f854ce2a947b27be598569fbc92.sol,0,0,0,0,0,0,1
34,CodeSmell_OriginalFiles/0x13ce614e9d7ce609dedba1b42ba2163426ba5ace.sol,0,0,0,0,0,0,0
35,CodeSmell_OriginalFiles/0x13ea82d5e1a811f55bda9c86fdd6195a6bd23aed.sol,0,0,0,0,0,0,0
36,CodeSmell_OriginalFiles/0x141766882733cafa9033e8707548fdcac908db22.sol,1,1,0,0,0,0,0
37,CodeSmell_OriginalFiles/0x14a3f4795076c0ae67c2aa9efc10e58427a00dff.sol,0,1,0,0,0,0,0
38,CodeSmell_OriginalFiles/0x14c6c5b52827b9fffef52e08ee2479498e5c9cf3.sol,0,0,0,0,0,0,1
39,CodeSmell_OriginalFiles/0x14cf6193935b17fc72649ba420fdd5bfdf1f0001.sol,1,1,0,1,0,0,1
40,CodeSmell_OriginalFiles/0x14f109d126c58b5bf55cdc51b9bd90b21e6a6de5.sol,0,0,0,0,0,0,0
41,CodeSmell_OriginalFiles/0x155E7e9ab193Aa37c87D22f66002e3dB64C9E0Ce.sol,0,0,0,0,0,0,0
42,CodeSmell_OriginalFiles/0x15dbdB25f870f21eaf9105e68e249E0426DaE916.sol,0,0,0,0,0,0,0
43,CodeSmell_OriginalFiles/0x16885883e2785C56D279636b45fB85d8F9B0db23.sol,1,1,0,0,0,0,0
44,CodeSmell_OriginalFiles/0x16a0772b17ae004e6645e0e95bf50ad69498a34e.sol,0,1,0,0,0,0,1
45,CodeSmell_OriginalFiles/0x173fc908b21b861facf54c65c10002b1e2f9c323.sol,0,0,0,0,0,0,0
46,CodeSmell_OriginalFiles/0x1748255382157bc5d4ed7e70c56afc5c97bddf07.sol,0,1,0,0,0,0,0
